Date,Plant,Soil,Plant2,Treat,instrument,stomata,intercept,slope,slopeGlobal,predIndvDay,predGlobal,nday,VpdMor,Dmol,E,pd_wp,md_wp,delta,KL
180613,32,A,A32,CONTROL,Porometer ECOFUN1,335.6,0,0.898600481,1.02589397,335.6,335.6,29,0.796683535,0.007864596,2.639358287,-0.399,-1.712,1.313,2.010173867
180613,80,A,A80,CONTROL,Porometer ECOFUN1,464.6,0,0.898600481,1.02589397,464.6,464.6,29,0.796683535,0.007864596,3.653891121,-0.739,-1.422,0.683,5.349767381
180613,86,A,A86,CONTROL,Porometer ECOFUN2,457.7,0,0.898600481,1.02589397,411.2894401,469.5516701,29,0.796683535,0.007864596,3.599625411,-0.508,-1.806,1.298,2.7732091
180613,110,B,B110,CONTROL,Porometer ECOFUN1,471.6,0,0.898600481,1.02589397,471.6,471.6,29,0.796683535,0.007864596,3.70894329,-0.642,-1.651,1.009,3.675860545
180613,133,B,B133,CONTROL,Porometer ECOFUN2,273.8,0,0.898600481,1.02589397,246.0368117,280.889769,29,0.796683535,0.007864596,2.153326278,-1.054,-1.534,0.48,4.486096413
180613,137,B,B137,CONTROL,Porometer ECOFUN1,139.7,0,0.898600481,1.02589397,139.7,139.7,29,0.796683535,0.007864596,1.098684007,-0.648,NA,NA,NA
180613,141,B,B141,CONTROL,Porometer ECOFUN1,206.5,0,0.898600481,1.02589397,206.5,206.5,29,0.796683535,0.007864596,1.624038994,-0.75,-1.01,0.26,6.246303822
180613,177,C,C177,CONTROL,Porometer ECOFUN2,202.2,0,0.898600481,1.02589397,181.6970172,207.4357607,29,0.796683535,0.007864596,1.590221233,NA,-0.817,NA,NA
180613,179,C,C179,CONTROL,Porometer ECOFUN2,471.9,0,0.898600481,1.02589397,424.049567,484.1193644,29,0.796683535,0.007864596,3.711302669,NA,NA,NA,NA
180613,218,C,C218,CONTROL,Porometer ECOFUN1,479.9,0,0.898600481,1.02589397,479.9,479.9,29,0.796683535,0.007864596,3.774219434,-1.345,-1.274,-0.071,-53.1580202
180613,220,C,C220,CONTROL,Porometer ECOFUN1,343.4,0,0.898600481,1.02589397,343.4,343.4,29,0.796683535,0.007864596,2.700702133,-1.622,-1.753,0.131,20.61604682
180620,47,A,A47,CONTROL,Porometer ECOFUN1,362.4,0,1,1.02589397,362.4,362.4,36,1.295035208,0.012784158,4.63297887,-0.543,-2.264,1.721,2.692027234
180620,7,A,A7,CONTROL,Porometer ECOFUN1,164.9,0,1,1.02589397,164.9,164.9,36,1.295035208,0.012784158,2.108107659,-0.409,-1.721,1.312,1.606789374
180620,81,A,A81,CONTROL,Porometer ECOFUN1,330.6,0,1,1.02589397,330.6,330.6,36,1.295035208,0.012784158,4.226442645,-0.849,-1.682,0.833,5.073760678
180620,91,A,A91,CONTROL,Porometer ECOFUN1,322.15,0,1,1.02589397,322.15,322.15,36,1.295035208,0.012784158,4.11841651,-0.518,-1.445,0.927,4.442736256
180620,102,B,B102,CONTROL,Porometer ECOFUN1,518.3,0,1,1.02589397,518.3,518.3,36,1.295035208,0.012784158,6.626029107,-0.579,-1.953,1.374,4.822437487
180620,112,B,B112,CONTROL,Porometer ECOFUN1,454.2,0,1,1.02589397,454.2,454.2,36,1.295035208,0.012784158,5.806564577,-0.477,-1.629,1.152,5.04042064
180620,114,B,B114,CONTROL,Porometer ECOFUN1,315.6,0,1,1.02589397,315.6,315.6,36,1.295035208,0.012784158,4.034680274,-0.514,-1.53,1.016,3.971142002
180620,116,B,B116,CONTROL,Porometer ECOFUN1,459.4,0,1,1.02589397,459.4,459.4,36,1.295035208,0.012784158,5.873042199,-0.276,-1.631,1.355,4.334348487
180620,162,C,C162,CONTROL,Porometer ECOFUN1,338.8,0,1,1.02589397,338.8,338.8,36,1.295035208,0.012784158,4.331272741,-0.242,-2.039,1.797,2.410279767
180620,195,C,C195,CONTROL,Porometer ECOFUN1,419,0,1,1.02589397,419,419,36,1.295035208,0.012784158,5.356562215,-0.901,-2.054,1.153,4.645760811
180620,200,C,C200,CONTROL,Porometer ECOFUN1,360.9,0,1,1.02589397,360.9,360.9,36,1.295035208,0.012784158,4.613802633,-0.533,-1.717,1.184,3.896792765
180620,203,C,C203,CONTROL,Porometer ECOFUN1,351.1,0,1,1.02589397,351.1,351.1,36,1.295035208,0.012784158,4.488517885,-0.712,-1.887,1.175,3.820015221
180517,17,A,A17,DRY,Porometer ECOFUN1,451,0,0.948928259,1.02589397,451,451,2,0.730356955,0.007209842,3.251638567,-0.47,-1.66,1.19,2.732469384
180517,34,A,A34,DRY,Porometer ECOFUN1,523.3,0,0.948928259,1.02589397,523.3,523.3,2,0.730356955,0.007209842,3.772910116,-0.583,-1.95,1.367,2.759992769
180517,39,A,A39,DRY,Porometer ECOFUN1,413.9,0,0.948928259,1.02589397,413.9,413.9,2,0.730356955,0.007209842,2.984153443,-0.59,-0.8,0.21,14.21025449
180517,43,A,A43,DRY,Porometer ECOFUN1,397,0,0.948928259,1.02589397,397,397,2,0.730356955,0.007209842,2.86230712,-0.42,-1.19,0.77,3.717281974
180517,50,A,A50,DRY,Porometer ECOFUN2,386.5,0,0.948928259,1.02589397,366.760772,396.5080194,2,0.730356955,0.007209842,2.786603783,-0.441,-1.86,1.419,1.963779974
180517,104,B,B104,DRY,Porometer ECOFUN2,482.9,0,0.948928259,1.02589397,458.2374561,495.4041981,2,0.730356955,0.007209842,3.481632515,-0.278,-0.981,0.703,4.952535583
180517,113,B,B113,DRY,Porometer ECOFUN1,314.9,0,0.948928259,1.02589397,314.9,314.9,2,0.730356955,0.007209842,2.270379124,-0.392,-0.1,-0.292,-7.775270972
180517,125,B,B125,DRY,Porometer ECOFUN2,388.4,0,0.948928259,1.02589397,368.5637357,398.4572179,2,0.730356955,0.007209842,2.800302482,-1.1,-1.67,0.57,4.912811373
180517,136,B,B136,DRY,Porometer ECOFUN2,402.7,0,0.948928259,1.02589397,382.1334098,413.1275017,2,0.730356955,0.007209842,2.903403217,-0.387,-1.39,1.003,2.89471906
180517,139,B,B139,DRY,Porometer ECOFUN1,298.2,0,0.948928259,1.02589397,298.2,298.2,2,0.730356955,0.007209842,2.149974769,-0.89,-0.8,-0.09,-23.88860854
180517,171,C,C171,DRY,Porometer ECOFUN2,308.5,0,0.948928259,1.02589397,292.7443678,316.4882897,2,0.730356955,0.007209842,2.224236138,-0.575,-1.52,0.945,2.353689034
180517,175,C,C175,DRY,Porometer ECOFUN2,337,0,0.948928259,1.02589397,319.7888232,345.7262679,2,0.730356955,0.007209842,2.429716623,-0.327,-1.41,1.083,2.243505654
180517,179,C,C179,DRY,Porometer ECOFUN1,402.6,0,0.948928259,1.02589397,402.6,402.6,2,0.730356955,0.007209842,2.902682233,-0.661,-1.41,0.749,3.875410191
180517,193,C,C193,DRY,Porometer ECOFUN2,368.4,0,0.948928259,1.02589397,349.5851705,377.9393385,2,0.730356955,0.007209842,2.65610565,-0.382,-1.35,0.968,2.743910796
180517,199,C,C199,DRY,Porometer ECOFUN1,317.1,0,0.948928259,1.02589397,317.1,317.1,2,0.730356955,0.007209842,2.286240775,-0.343,-1.44,1.097,2.084084572
180524,13,A,A13,DRY,Porometer ECOFUN1,379.9,90.60816262,0.747546673,1.02589397,379.9,379.9,9,0.669040818,0.006604549,2.509068182,-0.624,-1.67,1.046,2.398726751
180524,19,A,A19,DRY,Porometer ECOFUN1,379.6,90.60816262,0.747546673,1.02589397,379.6,379.6,9,0.669040818,0.006604549,2.507086817,-0.538,-1.925,1.387,1.807560791
180524,22,A,A22,DRY,Porometer ECOFUN1,304.3,90.60816262,0.747546673,1.02589397,304.3,304.3,9,0.669040818,0.006604549,2.009764274,-0.583,-1.647,1.064,1.888876197
180524,37,A,A37,DRY,Porometer ECOFUN1,320.7,90.60816262,0.747546673,1.02589397,320.7,320.7,9,0.669040818,0.006604549,2.118078878,-0.421,-1.324,0.903,2.345602302
180524,42,A,A42,DRY,Porometer ECOFUN2,358.7,90.60816262,0.747546673,1.02589397,358.7531542,367.988167,9,0.669040818,0.006604549,2.369051742,-0.486,-1.604,1.118,2.119008714
180524,117,B,B117,DRY,Porometer ECOFUN1,154.3,90.60816262,0.747546673,1.02589397,154.3,154.3,9,0.669040818,0.006604549,1.019081917,-1.09,-2.052,0.962,1.059336713
180524,118,B,B118,DRY,Porometer ECOFUN1,222.2,90.60816262,0.747546673,1.02589397,222.2,222.2,9,0.669040818,0.006604549,1.467530798,-1.136,-1.836,0.7,2.096472568
180524,146,B,B146,DRY,Porometer ECOFUN1,154.5,90.60816262,0.747546673,1.02589397,154.5,154.5,9,0.669040818,0.006604549,1.020402827,-0.633,-2.236,1.603,0.63655822
180524,148,B,B148,DRY,Porometer ECOFUN1,394.7,90.60816262,0.747546673,1.02589397,394.7,394.7,9,0.669040818,0.006604549,2.606815508,-0.52,-1.659,1.139,2.288687891
180524,160,B,B160,DRY,Porometer ECOFUN1,337.8,90.60816262,0.747546673,1.02589397,337.8,337.8,9,0.669040818,0.006604549,2.231016667,-0.854,-1.822,0.968,2.304769284
180524,163,C,C163,DRY,Porometer ECOFUN1,369.2,90.60816262,0.747546673,1.02589397,369.2,369.2,9,0.669040818,0.006604549,2.438399507,-0.912,-1.507,0.595,4.098150432
180524,165,C,C165,DRY,Porometer ECOFUN1,293.8,90.60816262,0.747546673,1.02589397,293.8,293.8,9,0.669040818,0.006604549,1.940416509,-0.466,-1.761,1.295,1.498391127
180524,170,C,C170,DRY,Porometer ECOFUN1,295.6,90.60816262,0.747546673,1.02589397,295.6,295.6,9,0.669040818,0.006604549,1.952304697,-0.339,-1.95,1.611,1.211858906
180524,176,C,C176,DRY,Porometer ECOFUN2,246.2,90.60816262,0.747546673,1.02589397,274.6541535,252.5750954,9,0.669040818,0.006604549,1.626039975,-0.802,-1.678,0.876,1.856210017
180524,209,C,C209,DRY,Porometer ECOFUN1,434.4,90.60816262,0.747546673,1.02589397,434.4,434.4,9,0.669040818,0.006604549,2.869016105,-0.836,-2.043,1.207,2.376981031
180531,10,A,A10,DRY,Porometer ECOFUN2,571.3,0,0.940813414,1.02589397,537.4867036,586.093225,16,0.939903039,0.009278411,5.300756231,-0.673,-1.76,1.087,4.876500672
180531,16,A,A16,DRY,Porometer ECOFUN2,420.6,0,0.940813414,1.02589397,395.706122,431.4910038,16,0.939903039,0.009278411,3.902499686,-0.76,-0.927,0.167,23.36826159
180531,23,A,A23,DRY,Porometer ECOFUN1,655.3,0,0.940813414,1.02589397,655.3,655.3,16,0.939903039,0.009278411,6.080142759,-1.047,-1.935,0.888,6.847007611
180531,27,A,A27,DRY,Porometer ECOFUN2,228.3,0,0.940813414,1.02589397,214.7877025,234.2115933,16,0.939903039,0.009278411,2.118261242,-0.457,-1.27,0.813,2.605487382
180531,36,A,A36,DRY,Porometer ECOFUN1,597.2,0,0.940813414,1.02589397,597.2,597.2,16,0.939903039,0.009278411,5.541067077,-0.486,-1.322,0.836,6.628070666
180531,103,B,B103,DRY,Porometer ECOFUN2,100.4,0,0.940813414,1.02589397,94.45766679,102.9997546,16,0.939903039,0.009278411,0.931552469,-0.632,-1.855,1.223,0.761694578
180531,106,B,B106,DRY,Porometer ECOFUN1,216.9,0,0.940813414,1.02589397,216.9,216.9,16,0.939903039,0.009278411,2.012487356,-0.901,-1.529,0.628,3.204597701
180531,134,B,B134,DRY,Porometer ECOFUN2,191.1,0,0.940813414,1.02589397,179.7894435,196.0483377,16,0.939903039,0.009278411,1.773104351,-0.581,-0.768,0.187,9.481841449
180531,153,B,B153,DRY,Porometer ECOFUN1,671.3,0,0.940813414,1.02589397,671.3,671.3,16,0.939903039,0.009278411,6.228597336,-0.748,-1.4,0.652,9.553063398
180531,158,B,B158,DRY,Porometer ECOFUN1,96.3,0,0.940813414,1.02589397,96.3,96.3,16,0.939903039,0.009278411,0.893510984,-0.531,-1.1997,0.6687,1.336191093
180531,183,C,C183,DRY,Porometer ECOFUN2,214.5,0,0.940813414,1.02589397,201.8044774,220.0542566,16,0.939903039,0.009278411,1.99021917,-0.623,-0.635,0.012,165.8515975
180531,186,C,C186,DRY,Porometer ECOFUN2,280.3,0,0.940813414,1.02589397,263.71,287.5580798,16,0.939903039,0.009278411,2.600738616,-0.589,-1.607,1.018,2.554753061
180531,210,C,C210,DRY,Porometer ECOFUN2,188.3,0,0.940813414,1.02589397,177.1551659,193.1758345,16,0.939903039,0.009278411,1.7471248,-0.392,-1.6,1.208,1.446295364
180531,213,C,C213,DRY,Porometer ECOFUN1,585.3,0,0.940813414,1.02589397,585.3,585.3,16,0.939903039,0.009278411,5.430653986,-0.979,-1.639,0.66,8.228263615
180531,219,C,C219,DRY,Porometer ECOFUN1,386,0,0.940813414,1.02589397,386,386,16,0.939903039,0.009278411,3.581466664,-0.388,-1.425,1.037,3.453680486
180613,1,A,A1,DRY,Porometer ECOFUN1,311.5,0,0.898600481,1.02589397,311.5,311.5,29,0.796683535,0.007864596,2.449821533,-0.578,-0.815,0.237,10.33679972
180613,14,A,A14,DRY,Porometer ECOFUN2,437.8,0,0.898600481,1.02589397,393.4072906,449.1363801,29,0.796683535,0.007864596,3.443119959,-0.69,-2.236,1.546,2.227115109
180613,20,A,A20,DRY,Porometer ECOFUN1,167.2,0,0.898600481,1.02589397,167.2,167.2,29,0.796683535,0.007864596,1.314960386,-0.674,-1.249,0.575,2.286887628
180613,44,A,A44,DRY,Porometer ECOFUN1,39,0,0.898600481,1.02589397,39,39,29,0.796683535,0.007864596,0.306719229,-3.17,-3.597,0.427,0.718312011
180613,45,A,A45,DRY,Porometer ECOFUN2,51.9,0,0.898600481,1.02589397,46.63736496,53.24389704,29,0.796683535,0.007864596,0.408172512,-1.273,-2.037,0.764,0.534257215
180613,111,B,B111,DRY,Porometer ECOFUN1,37.4,0,0.898600481,1.02589397,37.4,37.4,29,0.796683535,0.007864596,0.294135876,-4.206,-3.624,-0.582,-0.505388103
180613,129,B,B129,DRY,Porometer ECOFUN2,93.7,0,0.898600481,1.02589397,84.19886506,96.12626499,29,0.796683535,0.007864596,0.736912609,-1.027,-2.034,1.007,0.731790078
180613,132,B,B132,DRY,Porometer ECOFUN2,45.6,0,0.898600481,1.02589397,40.97618193,46.78076503,29,0.796683535,0.007864596,0.35862556,-2.54,-2.561,0.021,17.07740761
180613,135,B,B135,DRY,Porometer ECOFUN1,32.9,0,0.898600481,1.02589397,32.9,32.9,29,0.796683535,0.007864596,0.258745196,-3.952,-3.897,-0.055,-4.704458102
180613,144,B,B144,DRY,Porometer ECOFUN1,58.4,0,0.898600481,1.02589397,58.4,58.4,29,0.796683535,0.007864596,0.459292384,-1.076,-2.178,1.102,0.416780747
