Soil,Plant2,Plant,Treat,Date,time,instrument,stomata
C,C218,218,control,20180531,mid-morning,Porometer ECOFUN1,496.4
C,C220,220,control,20180531,mid-morning,Porometer ECOFUN2,285.6
C,C195,195,control,20180531,mid-morning,Porometer ECOFUN1,622.2
C,C177,177,control,20180531,mid-morning,Porometer ECOFUN2,283
B,B114,114,control,20180531,mid-morning,Porometer ECOFUN1,484
C,C177,177,control,20180531,mid-morning,Porometer ECOFUN1,284.1
B,B114,114,control,20180531,mid-morning,Porometer ECOFUN2,510.2
B,B102,102,control,20180531,mid-morning,Porometer ECOFUN1,523.5
B,B141,141,control,20180531,mid-morning,Porometer ECOFUN2,347.7
B,B124,124,control,20180531,mid-morning,Porometer ECOFUN1,472.8
B,B141,141,control,20180531,mid-morning,Porometer ECOFUN1,311
B,B110,110,control,20180531,mid-morning,Porometer ECOFUN2,395.9
A,A7,7,control,20180531,mid-morning,Porometer ECOFUN2,207.6
A,A7,7,control,20180531,mid-morning,Porometer ECOFUN1,201.1
A,A81,81,control,20180531,mid-morning,Porometer ECOFUN1,464.4
A,A2,2,control,20180531,mid-morning,Porometer ECOFUN1,475.3
A,A26,26,control,20180531,mid-morning,Porometer ECOFUN2,555.3
A,A91,91,control,20180531,mid-morning,Porometer ECOFUN1,491.4
A,A91,91,control,20180531,mid-morning,Porometer ECOFUN2,515.7
A,A20,20,drought,20180613,mid-morning,Porometer ECOFUN1,167.2
B,B133,133,control,20180613,mid-morning,Porometer ECOFUN2,273.8
B,B141,141,control,20180613,mid-morning,Porometer ECOFUN1,206.5
A,A1,1,drought,20180613,mid-morning,Porometer ECOFUN1,311.5
C,C179,179,control,20180613,mid-morning,Porometer ECOFUN2,471.9
C,C220,220,control,20180613,mid-morning,Porometer ECOFUN1,343.4
B,B135,135,drought,20180613,mid-morning,Porometer ECOFUN1,32.9
B,B129,129,drought,20180613,mid-morning,Porometer ECOFUN2,93.7
C,C218,218,control,20180613,mid-morning,Porometer ECOFUN1,479.9
C,C177,177,control,20180613,mid-morning,Porometer ECOFUN2,202.2
C,C164,164,drought,20180613,mid-morning,Porometer ECOFUN1,96.7
B,B111,111,drought,20180613,mid-morning,Porometer ECOFUN1,37.4
B,B144,144,drought,20180613,mid-morning,Porometer ECOFUN1,58.4
A,A80,80,control,20180613,mid-morning,Porometer ECOFUN1,464.6
A,A14,14,drought,20180613,mid-morning,Porometer ECOFUN2,437.8
B,B137,137,control,20180613,mid-morning,Porometer ECOFUN1,139.7
A,A86,86,control,20180613,mid-morning,Porometer ECOFUN2,457.7
A,A32,32,control,20180613,mid-morning,Porometer ECOFUN1,335.6
C,C167,167,drought,20180613,mid-morning,Porometer ECOFUN1,102.6
C,C168,168,drought,20180613,mid-morning,Porometer ECOFUN2,40.7
C,C168,168,drought,20180613,mid-morning,Porometer ECOFUN1,65.9
A,A26,26,control,20180613,mid-morning,Porometer ECOFUN2,641.8
A,A26,26,control,20180613,mid-morning,Porometer ECOFUN1,591.7
B,B110,110,control,20180613,mid-morning,Porometer ECOFUN2,452.3
B,B110,110,control,20180613,mid-morning,Porometer ECOFUN1,471.6
C,C206,206,drought,20180613,mid-morning,Porometer ECOFUN1,98.8
A,A45,45,drought,20180613,mid-morning,Porometer ECOFUN2,51.9
A,A44,44,drought,20180613,mid-morning,Porometer ECOFUN1,39
B,B132,132,drought,20180613,mid-morning,Porometer ECOFUN2,45.6
C,C182,182,drought,20180613,mid-morning,Porometer ECOFUN1,96.1
C,C182,182,drought,20180613,mid-morning,Porometer ECOFUN2,71.8
C,C216,216,drought,20180620,mid-morning,Porometer ECOFUN2,53.7
C,C212,212,drought,20180620,mid-morning,Porometer ECOFUN1,39
B,B143,143,drought,20180620,mid-morning,Porometer ECOFUN2,20.4
C,C189,189,drought,20180620,mid-morning,Porometer ECOFUN1,27.1
A,A21,21,drought,20180620,mid-morning,Porometer ECOFUN2,28.7
C,C188,188,drought,20180620,mid-morning,Porometer ECOFUN1,31.8
A,A89,89,drought,20180620,mid-morning,Porometer ECOFUN2,9.9
B,B102,102,control,20180620,mid-morning,Porometer ECOFUN1,518.3
B,B116,116,control,20180620,mid-morning,Porometer ECOFUN1,459.4
C,C208,208,drought,20180620,mid-morning,Porometer ECOFUN1,77.5
C,C195,195,control,20180620,mid-morning,Porometer ECOFUN1,419
B,B112,112,control,20180620,mid-morning,Porometer ECOFUN1,454.2
B,B150,150,drought,20180620,mid-morning,Porometer ECOFUN1,54.9
B,B115,115,drought,20180620,mid-morning,Porometer ECOFUN1,85.9
A,A12,12,drought,20180620,mid-morning,Porometer ECOFUN1,62.5
A,A81,81,control,20180620,mid-morning,Porometer ECOFUN1,431.9
A,A91,91,control,20180620,mid-morning,Porometer ECOFUN1,283
C,C200,200,control,20180620,mid-morning,Porometer ECOFUN1,377
A,A7,7,control,20180620,mid-morning,Porometer ECOFUN1,98.2
C,C216,216,drought,20180620,mid-morning,Porometer ECOFUN1,52.6
B,B143,143,drought,20180620,mid-morning,Porometer ECOFUN1,57.5
A,A21,21,drought,20180620,mid-morning,Porometer ECOFUN1,34.7
A,A89,89,drought,20180620,mid-morning,Porometer ECOFUN1,22.6
A,A9,9,drought,20180620,mid-morning,Porometer ECOFUN1,27.5
B,B114,114,control,20180620,mid-morning,Porometer ECOFUN1,315.6
