Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
109,20180620,B,DRY,-2.507,nothing,-2.356,measurements from 12.30 to 14.30
110,20180607,B,CONTROL,-1.4,nothing,-1.18,nothing
110,20180613,B,CONTROL,-0.642,nothing,-1.651,nothing
111,20180607,B,DRY,-1.96,nothing,-2.26,nothing
111,20180613,B,DRY,-4.206,nothing,-3.624,nothing
112,20180620,B,CONTROL,-0.477,nothing,-1.629,measurements from 12.30 to 14.30
113,20180517,B,DRY,-0.392,nothing,-0.1,nothing
114,20180620,B,CONTROL,-0.514,nothing,-1.53,measurements from 12.30 to 14.30
115,20180620,B,DRY,-1.789,nothing,-2.981,measurements from 12.30 to 14.30
116,20180620,B,CONTROL,-0.276,nothing,-1.631,measurements from 12.30 to 14.30
117,20180522,B,DRY,-0.322,nothing,NA,NA
117,20180524,B,DRY,-1.09,nothing,-2.052,some leaves were kept in a sealed bag in the sun for a bit too long!
118,20180522,B,DRY,-0.639,nothing,NA,NA
118,20180524,B,DRY,-1.136,nothing,-1.836,some leaves were kept in a sealed bag in the sun for a bit too long!
121,20180522,B,CONTROL,-0.491,nothing,NA,NA
121,20180524,B,CONTROL,-0.453,nothing,-1.666,some leaves were kept in a sealed bag in the sun for a bit too long!
123,20180620,B,DRY,-1.816,nothing,-2.519,measurements from 12.30 to 14.30
125,20180517,B,DRY,-1.1,nothing,-1.67,nothing
129,20180607,B,DRY,-0.7,nothing,-1.952,nothing
129,20180613,B,DRY,-1.027,nothing,-2.034,nothing
132,20180607,B,DRY,-1.465,nothing,-2.019,nothing
132,20180613,B,DRY,-2.54,nothing,-2.561,nothing
133,20180607,B,CONTROL,-0.829,nothing,NA,NA
133,20180613,B,CONTROL,-1.054,nothing,-1.534,nothing
134,20180528,B,DRY,-0.463,nothing,NA,NA
134,20180531,B,DRY,-0.581,nothing,-0.768,nothing
135,20180607,B,DRY,-2,nothing,-2.741,nothing
135,20180613,B,DRY,-3.952,nothing,-3.897,nothing
136,20180517,B,DRY,-0.387,nothing,-1.39,nothing
137,20180607,B,CONTROL,-0.513,nothing,-1.199,nothing
137,20180613,B,CONTROL,-0.648,nothing,NA,"this has to be wrong, original reading: -0.321 MPa"
139,20180517,B,DRY,-0.89,nothing,-0.8,nothing
141,20180607,B,CONTROL,-0.611,nothing,NA,NA
141,20180613,B,CONTROL,-0.75,nothing,-1.01,nothing
143,20180620,B,DRY,-2.773,nothing,-2.76,measurements from 12.30 to 14.30
144,20180607,B,DRY,-0.856,nothing,NA,NA
144,20180613,B,DRY,-1.076,nothing,-2.178,nothing
146,20180522,B,DRY,-0.455,nothing,NA,NA
146,20180524,B,DRY,-0.633,nothing,-2.236,some leaves were kept in a sealed bag in the sun for a bit too long!
148,20180522,B,DRY,-0.498,nothing,NA,NA
148,20180524,B,DRY,-0.52,nothing,-1.659,some leaves were kept in a sealed bag in the sun for a bit too long!
150,20180620,B,DRY,-2.372,nothing,-2.662,measurements from 12.30 to 14.30
151,20180522,B,CONTROL,-0.375,nothing,NA,NA
151,20180524,B,CONTROL,-0.439,nothing,-2.131,some leaves were kept in a sealed bag in the sun for a bit too long!
153,20180528,B,DRY,-0.426,nothing,NA,NA
153,20180531,B,DRY,-0.748,nothing,-1.4,nothing
156,20180522,B,CONTROL,-0.563,nothing,NA,NA
156,20180524,B,CONTROL,-0.534,nothing,-1.773,some leaves were kept in a sealed bag in the sun for a bit too long!
158,20180528,B,DRY,-0.283,nothing,NA,NA
158,20180531,B,DRY,-0.531,nothing,-1.1997,nothing
160,20180522,B,DRY,-0.514,nothing,NA,NA
160,20180524,B,DRY,-0.854,nothing,-1.822,some leaves were kept in a sealed bag in the sun for a bit too long!
162,20180620,C,CONTROL,-0.242,nothing,-2.039,measurements from 12.30 to 14.30
163,20180522,C,DRY,-0.295,nothing,NA,NA
163,20180524,C,DRY,-0.912,nothing,-1.507,some leaves were kept in a sealed bag in the sun for a bit too long!
164,20180607,C,DRY,-0.658,nothing,NA,NA
164,20180613,C,DRY,-1.218,nothing,-1.692,nothing
165,20180522,C,DRY,-0.512,nothing,NA,NA
165,20180524,C,DRY,-0.466,nothing,-1.761,some leaves were kept in a sealed bag in the sun for a bit too long!
167,20180607,C,DRY,-1,nothing,NA,NA
167,20180613,C,DRY,-1.216,nothing,-1.658,nothing
168,20180607,C,DRY,-1.146,nothing,NA,NA
168,20180613,C,DRY,-2.5,nothing,-3.519,nothing
169,20180607,C,CONTROL,-0.783,nothing,NA,NA
169,20180613,C,CONTROL,-0.743,nothing,-1.939,nothing
170,20180522,C,DRY,-0.381,nothing,NA,NA
170,20180524,C,DRY,-0.339,nothing,-1.95,some leaves were kept in a sealed bag in the sun for a bit too long!
171,20180517,C,DRY,-0.575,nothing,-1.52,nothing
172,20180620,C,50mL,-1.01,nothing,-2.719,measurements from 12.30 to 14.30
174,20180620,C,50mL,-0.419,nothing,-1.741,measurements from 12.30 to 14.30
175,20180517,C,DRY,-0.327,nothing,-1.41,nothing
176,20180522,C,DRY,-0.685,nothing,NA,NA
176,20180524,C,DRY,-0.802,nothing,-1.678,some leaves were kept in a sealed bag in the sun for a bit too long!
177,20180607,C,CONTROL,-0.413,nothing,NA,NA
177,20180613,C,CONTROL,NA,too late,-0.817,nothing
179,20180517,C,DRY,-0.661,nothing,-1.41,nothing
181,20180522,C,CONTROL,-0.509,nothing,NA,NA
181,20180524,C,CONTROL,-0.59,nothing,-2.621,some leaves were kept in a sealed bag in the sun for a bit too long!
182,20180607,C,DRY,-0.694,nothing,NA,NA
182,20180613,C,DRY,-1.075,nothing,-1.513,nothing
183,20180528,C,DRY,-0.484,nothing,NA,NA
183,20180531,C,DRY,-0.623,nothing,-0.635,nothing
186,20180528,C,DRY,-0.311,nothing,NA,NA
186,20180531,C,DRY,-0.589,nothing,-1.607,nothing
188,20180620,C,DRY,-3.987,nothing,-4.075,measurements from 12.30 to 14.30
189,20180620,C,DRY,-4.32,nothing,-4.277,measurements from 12.30 to 14.30
190,20180522,C,CONTROL,-0.403,nothing,NA,NA
190,20180524,C,CONTROL,-0.427,nothing,-2.418,some leaves were kept in a sealed bag in the sun for a bit too long!
193,20180517,C,DRY,-0.382,nothing,-1.35,nothing
195,20180620,C,CONTROL,-0.901,nothing,-2.054,measurements from 12.30 to 14.30
199,20180517,C,DRY,-0.343,nothing,-1.44,nothing
200,20180620,C,CONTROL,-0.533,nothing,-1.717,measurements from 12.30 to 14.30
203,20180620,C,CONTROL,-0.712,nothing,-1.887,measurements from 12.30 to 14.30
206,20180607,C,DRY,-0.603,nothing,NA,NA
206,20180613,C,DRY,-2.109,nothing,-2.433,nothing
208,20180620,C,DRY,NA,value below -7.2 Mpa,NA,value below -7.2 Mpa. measurements from 12.30 to 14.30
209,20180522,C,DRY,-0.663,nothing,NA,NA
209,20180524,C,DRY,-0.836,nothing,-2.043,some leaves were kept in a sealed bag in the sun for a bit too long!
210,20180528,C,DRY,-0.529,nothing,NA,NA
210,20180531,C,DRY,-0.392,nothing,-1.6,nothing
211,20180522,C,DRY,-0.366,nothing,NA,NA
211,20180620,C,50mL,-2.473,nothing,-3.205,measurements from 12.30 to 14.30
212,20180620,C,DRY,-2.512,nothing,-2.856,measurements from 12.30 to 14.30
213,20180528,C,DRY,-0.48,nothing,NA,NA
213,20180531,C,DRY,-0.979,nothing,-1.639,nothing
214,20180522,C,CONTROL,-0.518,nothing,NA,NA
214,20180524,C,CONTROL,-0.508,nothing,-1.664,some leaves were kept in a sealed bag in the sun for a bit too long!
215,20180620,C,50mL,-0.962,nothing,-2.251,measurements from 12.30 to 14.30
216,20180620,C,DRY,NA,value below -7.2 Mpa,NA,value below -7.2 Mpa. measurements from 12.30 to 14.30
218,20180607,C,CONTROL,-1.6,nothing,NA,NA
218,20180613,C,CONTROL,-1.345,nothing,-1.274,nothing
219,20180528,C,DRY,-0.403,nothing,NA,NA
219,20180531,C,DRY,-0.388,nothing,-1.425,nothing
220,20180607,C,CONTROL,-0.599,nothing,NA,NA
220,20180613,C,CONTROL,-1.622,nothing,-1.753,nothing
