Code_orig,Treat,Soil,Code,Plant,Type,Date,Time,delta_D_various,delta_O18_various,Comments
CONTROL_C220_SOIL_180613,CONTROL,C,C220,220,Soil,180613,29,-27.99859191,-3.919774062,
IRRIGATIONW_180613,,,,,IRRIGATIONW,180613,29,-35.40596996,-5.879000237,
DRY_A12_R_180620,DRY,A,A12,12,Root,180620,36,-20.46871444,0.856518101,
DRY_A12_S_180620,DRY,A,A12,12,Stem,180620,36,-21.03912005,0.77848702,
DRY_A12_SOIL_180620,DRY,A,A12,12,Soil,180620,36,-34.23256077,-1.236005898,
DRY_A15_R_180620,DRY,A,A15,15,Root,180620,36,-31.20925203,-0.30748921,
DRY_A15_S_180620,DRY,A,A15,15,Stem,180620,36,-26.59746403,1.209559057,
DRY_A15_SOIL_180620,DRY,A,A15,15,Soil,180620,36,-29.08586847,-0.073834111,
DRY_A21_R_180620,DRY,A,A21,21,Root,180620,36,-28.81898158,-1.071183268,
DRY_A21_S_180620,DRY,A,A21,21,Stem,180620,36,-19.60875871,0.326085043,
DRY_A21_SOIL_180620,DRY,A,A21,21,Soil,180620,36,-28.65173046,-0.352610941,
CONTROL_A47_R_180620,CONTROL,A,A47,47,Root,180620,36,-44.59280736,-4.639261632,
CONTROL_A47_S_180620,CONTROL,A,A47,47,Stem,180620,36,-40.46664753,-4.089730269,
CONTROL_A47_SOIL_180620,CONTROL,A,A47,47,Soil,180620,36,-27.87775514,-3.578973113,
CONTROL_SOIL_A7_180620,CONTROL,A,A7,7,Soil,180620,36,-24.23527335,-3.097707029,
CONTROL_A7_R_180620,CONTROL,A,A7,7,Root,180620,36,-43.84325493,-4.576618281,
CONTROL_A7_S_180620,CONTROL,A,A7,7,Stem,180620,36,-42.27597727,-3.4465328,
CONTROL_A81_R_180620,CONTROL,A,A81,81,Root,180620,36,-42.75596208,-4.956292376,
CONTROL_A81_S_180620,CONTROL,A,A81,81,Stem,180620,36,-39.41223619,-3.833505294,
CONTROL_SOIL_A81_180620,CONTROL,A,A81,81,Soil,180620,36,-31.38012498,-4.416053907,
DRY_A289_S_180620,DRY,A,A89,89,Stem,180620,36,NA,NA,doubt
DRY_A89_R_180620,DRY,A,A89,89,Root,180620,36,-24.21155409,0.797674754,
DRY_A89_SOIL_180620,DRY,A,A89,89,Soil,180620,36,-30.61647629,0.365656476,
DRY_A9_R_180620,DRY,A,A9,9,Root,180620,36,-18.51413017,3.705977638,
DRY_A9_S_180620,DRY,A,A9,9,Stem,180620,36,-9.575145805,4.363795678,
DRY_A9_SOIL_180620,DRY,A,A9,9,Soil,180620,36,-30.8084626,2.275525134,
CONTROL_A91_R_180620,CONTROL,A,A91,91,Root,180620,36,-34.24920148,-4.169357651,
CONTROL_A91_S_180620,CONTROL,A,A91,91,Stem,180620,36,-37.65579548,-4.340816866,
CONTROL_SOIL_A91_180620,CONTROL,A,A91,91,Soil,180620,36,-30.84712693,-4.445531558,
CONTROL_B102_R_180620,CONTROL,B,B102,102,Root,180620,36,-46.69612202,-5.959972831,
CONTROL_B102_S_180620,CONTROL,B,B102,102,Stem,180620,36,-40.67647557,-3.936304188,
CONTROL_B102_SOIL_180620,CONTROL,B,B102,102,Soil,180620,36,-25.64639319,-3.516009291,
CONTROL_ROCK_B102_180620,CONTROL,B,B102,102,Rock,180620,36,-24.93681296,-3.742667867,
DRY_B105_S_180620,DRY,B,B109,109,Stem,180620,36,-13.53521448,3.310973549,
DRY_B109_R_180620,DRY,B,B109,109,Root,180620,36,-24.12997265,0.681444241,
DRY_B109_SOIL_180620,DRY,B,B109,109,Soil,180620,36,-37.06685848,-0.052595493,
DRY_B109_ROCK_180620,DRY,B,B109,109,Rock,180620,36,-4.334536907,2.801862095,
CONTROL_B112_S_180620,CONTROL,B,B112,112,Stem,180620,36,-39.84358838,-4.134539899,
CONTROL_B112_SOIL_180620,CONTROL,B,B112,112,Soil,180620,36,-25.45457944,-3.247787616,
DRY_B112_R_180620,CONTROL,B,B112,112,Root,180620,36,-42.55861373,-4.648948141,
CONTROL_ROCK_B112_180620,CONTROL,B,B112,112,Rock,180620,36,-21.2941332,-2.819760096,
CONTROL_B114_ROCK_180620,CONTROL,B,B114,114,Rock,180620,36,-30.56005681,-4.981753,
CONTROL_B114_R_180620,CONTROL,B,B114,114,Root,180620,36,-40.36569134,-3.817308694,
CONTROL_SOIL_B114_180620,CONTROL,B,B114,114,Soil,180620,36,-27.1225226,-3.850827229,
DRY_B115_R_180620,DRY,B,B115,115,Root,180620,36,-21.55589031,0.966149514,
DRY_B115_S_180620,DRY,B,B115,115,Stem,180620,36,-22.36080341,1.586666857,
DRY_B115_SOIL_180620,DRY,B,B115,115,Soil,180620,36,-32.16812563,-0.282503672,
CONTROL_B116_ROCK_180620,CONTROL,B,B116,116,Rock,180620,36,-26.52579364,-3.811351335,
CONTROL_B116_R_180620,CONTROL,B,B116,116,Root,180620,36,-42.10912216,-4.376995799,
CONTROL_B116_S_180620,CONTROL,B,B116,116,Stem,180620,36,-40.20099793,-4.609757778,
CONTROL_B116_SOIL_180620,CONTROL,B,B116,116,Soil,180620,36,-22.50661043,-2.676665535,
DRY_B123_ROCK_180620,DRY,B,B123,123,Rock,180620,36,-5.930536083,1.79438911,
DRY_B123_R_180620,DRY,B,B123,123,Root,180620,36,-21.98151571,0.651820937,
DRY_B123_S_180620,DRY,B,B123,123,Stem,180620,36,NA,NA,doubt
DRY_SOIL_B123_180620,DRY,B,B123,123,Soil,180620,36,-28.97262461,0.117122109,
CONTROL_B141_R_180620,CONTROL,B,B141,141,Rock,180620,36,-11.00172614,3.024544749,doubt
CONTROL_B144_S_180620,CONTROL,B,B141,141,Stem,180620,36,-38.42828012,-3.533287969,doubt
DRY_B143_ROCK_180620,DRY,B,B143,143,Rock,180620,36,-8.597033891,1.244286469,
DRY_B143_R_180620,DRY,B,B143,143,Root,180620,36,-16.12001132,2.635068717,
DRY_B143_SOIL_180620,DRY,B,B143,143,Soil,180620,36,-24.34992777,1.917197432,
DRY_C143_S_180620,DRY,B,B143,143,Stem,180620,36,-36.88900093,-4.707021611,
DRY_SOIL_B150_180620,DRY,B,B150,150,Soil,180620,36,-34.64180244,-0.536321687,
DRY_B150_ROCK_180620,DRY,B,B150,150,Rock,180620,36,-8.886911434,1.195849782,
DRY_B150_R_180620,DRY,B,B150,150,Root,180620,36,-27.24919152,-0.342861082,
DRY_B150_STEM_180620,DRY,B,B150,150,Stem,180620,36,-18.23556339,1.774183022,
CONTROL_C162_S_180620,CONTROL,C,C162,162,Stem,180620,36,-35.37000442,-2.989045015,
CONTROL_C162_SOIL_180620,CONTROL,C,C162,162,Soil,180620,36,-23.55569772,-2.994563397,
DRY_C188_R_180620,DRY,C,C188,188,Root,180620,36,-22.43602154,0.660164889,
DRY_C188_S_180620,DRY,C,C188,188,Stem,180620,36,-19.551604,1.246095842,
DRY_C188_SOIL_180620,DRY,C,C188,188,Soil,180620,36,-22.03310463,-0.506510099,
DRY_C189_R_180620,DRY,C,C189,189,Root,180620,36,-21.04394775,1.015499329,
DRY_C189_S_180620,DRY,C,C189,189,Stem,180620,36,-20.75763467,0.904279017,
DRY_C189_SOIL_180620,DRY,C,C189,189,Soil,180620,36,-32.21126499,-1.38763828,
CONTROL_C195_R_180620,CONTROL,C,C195,195,Root,180620,36,-41.42294839,-4.797481697,
CONTROL_C195_S_180620,CONTROL,C,C195,195,Stem,180620,36,-36.28614662,-2.840915631,
CONTROL_C195_SOIL_180620,CONTROL,C,C195,195,Soil,180620,36,-41.92159626,-5.919307005,
CONTROL_C200_R_180620,CONTROL,C,C200,200,Root,180620,36,-41.5274029,-4.633823417,
CONTROL_C200_S_180620,CONTROL,C,C200,200,Stem,180620,36,-40.34086379,-4.222701379,
CONTROL_C200_SOIL_180620,CONTROL,C,C200,200,Soil,180620,36,-25.71274698,-3.005712168,
CONTROL_C203_R_180620,CONTROL,C,C203,203,Root,180620,36,-39.9263681,-4.988874781,
CONTROL_C203_S_180620,CONTROL,C,C203,203,Stem,180620,36,-44.00366526,-5.36297842,
CONTROL_SOIL_C203_180620,CONTROL,C,C203,203,Soil,180620,36,-29.06423388,-3.950098648,
CONTROL_C208_R_180620,DRY,C,C208,208,Root,180620,36,-26.3958045,0.343657413,
DRY_C208_S_180620,DRY,C,C208,208,Stem,180620,36,-21.84148448,2.018511126,
DRY_C208_SOIL_180620,DRY,C,C208,208,Soil,180620,36,-32.99185239,-1.097214899,
DRY_C212_R_180620,DRY,C,C212,212,Root,180620,36,-23.97321241,0.217776305,
DRY_C212_S_180620,DRY,C,C212,212,Stem,180620,36,-16.45849431,1.855336778,
DRY_C212_SOIL_180620,DRY,C,C212,212,Soil,180620,36,-31.68746534,-0.874616492,
DRY_C216_R_180620,DRY,C,C216,216,Root,180620,36,-19.89934282,2.581117589,
DRY_C216_STEM_180620,DRY,C,C216,216,Stem,180620,36,-20.02047254,1.969502557,
DRY_SOIL_C216_180620,DRY,C,C216,216,Soil,180620,36,-29.39238391,-0.577622357,
IRRIGATIONW_180620,,,,,IRRIGATIONW,180620,36,-35.05273443,-5.883179333,
