Soil,Plant,Treat,Date,weight_g
B,157,drought,20180531,3289.7
B,138,drought,20180531,3053.6
B,145,drought,20180531,3784.5
B,159,drought,20180531,3186.3
B,105,drought,20180531,3813.9
B,127,drought,20180531,3712
B,130,drought,20180531,3432
B,155,drought,20180531,3274.9
B,122,drought,20180531,3483.8
C,191,drought,20180531,3266
C,194,drought,20180531,3001.9
C,201,drought,20180531,3128.1
C,198,drought,20180531,2976.2
C,166,drought,20180531,2923
C,217,drought,20180531,2558.5
C,184,drought,20180531,3187.9
C,173,drought,20180531,2884.4
C,185,drought,20180531,3145.4
C,202,drought,20180531,3345.9
A,91,control,20180607,4067.5
A,86,control,20180607,4128.5
A,47,control,20180607,3695.4
A,7,control,20180607,3818.8
A,81,control,20180607,4007
B,102,control,20180607,4231.1
B,116,control,20180607,3934.1
B,112,control,20180607,4259.6
B,141,control,20180607,4128.1
B,114,control,20180607,4058.4
C,169,control,20180607,3549.4
C,195,control,20180607,3672
C,200,control,20180607,3494.8
C,203,control,20180607,3413.6
C,162,control,20180607,3378.9
A,76,drought,20180607,3044.1
A,35,drought,20180607,3259
A,67,drought,20180607,3108.1
A,46,drought,20180607,2861.4
A,41,drought,20180607,3403.8
A,11,drought,20180607,3275.6
A,28,drought,20180607,3257.3
A,100,drought,20180607,3622.1
A,64,drought,20180607,3571.9
A,2,drought,20180607,3181.2
B,120,drought,20180607,3354.8
B,157,drought,20180607,3225.3
B,138,drought,20180607,2983.1
B,145,drought,20180607,3686.6
B,159,drought,20180607,3109.9
B,105,drought,20180607,3705.3
B,127,drought,20180607,3622.6
B,130,drought,20180607,3341.1
B,155,drought,20180607,3200.1
B,122,drought,20180607,3322.4
C,191,drought,20180607,3125.2
C,194,drought,20180607,2897.6
C,201,drought,20180607,2903.6
C,198,drought,20180607,2797.7
C,166,drought,20180607,2787.7
C,217,drought,20180607,2463.9
C,184,drought,20180607,3003
C,173,drought,20180607,2704.2
C,185,drought,20180607,2932.5
C,202,drought,20180607,3147.1
A,91,control,20180613,4034.3
A,86,control,20180613,4140.3
A,47,control,20180613,3762.3
A,7,control,20180613,3806
A,81,control,20180613,3925.9
B,102,control,20180613,4204.9
B,116,control,20180613,3917.9
B,112,control,20180613,4216.1
B,141,control,20180613,4069
B,114,control,20180613,4013.2
C,169,control,20180613,3517.4
C,195,control,20180613,3647.3
C,200,control,20180613,3437.5
C,203,control,20180613,3360.4
C,162,control,20180613,3309.3
A,76,drought,20180613,2962.3
A,35,drought,20180613,3214.9
A,67,drought,20180613,3011.9
A,46,drought,20180613,2809.9
A,41,drought,20180613,3341.7
A,11,drought,20180613,3226.1
A,28,drought,20180613,3141.7
A,100,drought,20180613,3548
A,64,drought,20180613,3456.2
A,2,drought,20180613,3084.2
B,120,drought,20180613,3312.7
B,157,drought,20180613,3196.7
B,138,drought,20180613,2951.2
B,145,drought,20180613,3636.4
B,159,drought,20180613,3074.9
B,105,drought,20180613,3581.3
B,127,drought,20180613,3581.3
B,130,drought,20180613,3301.7
B,155,drought,20180613,3165.1
B,122,drought,20180613,3258.6
C,191,drought,20180613,3066.8
C,194,drought,20180613,2846.8
C,201,drought,20180613,2831.3
C,198,drought,20180613,2711.4
C,166,drought,20180613,2745.7
C,217,drought,20180613,2412.3
C,184,drought,20180613,2877.1
C,173,drought,20180613,2636.1
C,185,drought,20180613,2860
C,202,drought,20180613,3063.3
A,91,control,20180620,3933.4
A,47,control,20180620,3615
A,7,control,20180620,3690.4
A,81,control,20180620,3824
B,102,control,20180620,4172
B,116,control,20180620,3921.6
B,112,control,20180620,4172.2
B,114,control,20180620,4124.4
C,195,control,20180620,3603.6
C,200,control,20180620,3362.5
C,203,control,20180620,3314
C,162,control,20180620,3314.1
A,76,drought,20180620,2915.9
A,35,drought,20180620,3180.8
A,67,drought,20180620,2999
A,46,drought,20180620,2774.5
A,41,drought,20180620,3291.4
A,11,drought,20180620,3185
A,28,drought,20180620,3064
A,100,drought,20180620,3497.9
A,64,drought,20180620,3384
A,2,drought,20180620,3029.1
B,120,drought,20180620,3283
B,157,drought,20180620,3173
B,138,drought,20180620,2927.3
B,145,drought,20180620,3597.1
B,159,drought,20180620,3048.6
B,105,drought,20180620,3611.2
B,127,drought,20180620,3544.5
B,130,drought,20180620,3269
B,155,drought,20180620,3135.8
B,122,drought,20180620,3207.3
C,191,drought,20180620,3019.1
C,194,drought,20180620,2808.2
C,201,drought,20180620,2788.3
C,198,drought,20180620,2654.1
C,166,drought,20180620,2713
C,217,drought,20180620,2372.3
C,184,drought,20180620,2784.2
C,173,drought,20180620,2585.2
C,185,drought,20180620,2814.3
C,202,drought,20180620,3007.2
