soilType,plantID,Date_yyyymmdd,height_cm,diam_mm
C,185,20180314,33.7,8.37
C,202,20180314,25.6,4.54
B,101,20180314,42.6,7.19
A,75,20180314,30.9,6.69
A,32,20180314,31.6,7.01
A,92,20180314,31.4,5.24
B,115,20180314,28.9,4.54
C,178,20180314,42,6.41
A,2,20180314,32.1,5.4
B,122,20180314,26.8,4.72
A,37,20180314,39.1,4.63
C,189,20180314,40.5,7.22
B,119,20180314,43.5,9.72
C,196,20180314,29,5.58
B,111,20180314,37,7.72
C,180,20180314,23.5,4.5
B,160,20180314,31.6,4.1
C,167,20180314,30.6,4.41
B,139,20180314,28.3,6.96
C,204,20180314,34.6,6.98
B,158,20180314,25.9,4.34
A,302,20180314,47.4,5.95
A,301,20180314,30.7,5.84
A,303,20180314,34.4,6.28
A,306,20180314,30.2,6.84
B,NA,20180314,29.5,6.19
B,NA,20180314,30.4,5.76
A,304,20180314,28.5,5.92
B,401,20180314,35,4.88
A,309,20180314,25,4.04
A,308,20180314,35.2,5.5
B,NA,20180314,39.5,6.92
B,NA,20180314,36.1,6.28
A,311,20180314,39.1,6.84
A,315,20180314,29.1,4.17
A,305,20180314,29.5,4.57
A,310,20180314,28.4,4.72
B,402,20180314,31.3,6.01
A,307,20180314,34.6,6.29
C,169,20180509,43,8.06
B,109,20180509,42,10.88
A,91,20180509,28.5,4.62
A,15,20180509,32,5.75
B,NA,20180509,51,10.56
A,313,20180509,47,5.68
A,95,20180509,35,7.27
B,129,20180509,31,5.44
C,170,20180509,45,5.58
A,4,20180509,41,6.05
A,76,20180509,40,6.82
A,27,20180509,32.5,7.1
C,207,20180509,33,6.85
B,126,20180509,39,6.52
A,312,20180509,33,6.34
A,314,20180509,32,5.17
C,177,20180509,37,5.53
A,18,20180509,40,7.93
A,93,20180509,31,6.02
B,120,20180509,40,4.35
C,191,20180509,38,7
B,104,20180509,46,6.59
A,82,20180509,56,8.69
A,25,20180509,51,8.28
A,65,20180509,51,7.3
B,117,20180509,38.5,6.77
C,212,20180509,38,4.24
A,14,20180509,31,4.8
A,86,20180509,39,5.88
A,31,20180509,32,5.35
C,183,20180509,38,5.96
B,137,20180509,44,8.1
C,172,20180509,35,3.73
A,16,20180509,36,9.08
A,59,20180509,39,9.38
B,102,20180509,40,6.71
C,195,20180509,29,6.37
B,128,20180509,41,5.27
A,66,20180509,40,5.37
A,9,20180509,34,7.02
A,73,20180509,39,5.94
B,134,20180509,42,8.14
C,175,20180509,42,7.61
A,35,20180509,35,6.14
A,67,20180509,42,6.45
A,38,20180509,41,9.08
C,168,20180509,47,8.04
B,149,20180509,57,5.31
C,190,20180509,39.5,6.89
A,6,20180509,30,5.39
A,52,20180509,30.5,6.66
B,116,20180509,32,5.52
C,194,20180509,46,6.59
B,154,20180509,43,9.15
A,84,20180509,42,9.33
A,26,20180509,47.5,6.87
A,56,20180509,44,7.76
B,146,20180509,44.5,7.88
C,211,20180509,52,6.57
A,46,20180509,41,5.35
A,77,20180509,33,5.97
A,45,20180509,45,6.73
C,186,20180509,35.5,5.28
B,133,20180509,37.5,6.55
B,157,20180509,42,7.69
A,58,20180509,38,6.2
A,3,20180509,40.5,5.56
C,208,20180509,39.5,5.28
A,40,20180509,28,5.84
A,71,20180509,39,8.27
B,124,20180509,43.5,9.63
C,200,20180509,33,4.73
A,47,20180509,33.5,5.78
C,176,20180509,49,5.81
B,135,20180509,41.5,6.25
A,53,20180509,49.5,8.88
B,151,20180509,46,9.44
C,171,20180509,32.5,4.07
A,8,20180509,32,5.81
A,63,20180509,46,6.53
B,138,20180509,32.5,6.47
A,88,20180509,39,4.29
A,33,20180509,29,5.65
C,205,20180509,31.5,5.76
A,24,20180509,36,6.36
A,51,20180509,42.5,6.9
B,140,20180509,49.5,7.34
C,201,20180509,37.5,5.92
A,41,20180509,47,5.19
C,182,20180509,40.5,5.78
B,107,20180509,33.5,5.43
A,78,20180509,43.5,9.04
B,152,20180509,46.5,9.86
C,193,20180509,44,6.84
A,21,20180509,50,6.3
A,96,20180509,40,7.44
B,112,20180509,37,6.69
A,95,20180509,43,5.71
